#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
3-6	137-140	još	ADV	ADV	_	_	još	_	_	_	ENG30-00027795-b	4	CV0131;CV0165;ENG30-00017639-b;ENG30-00027795-b	*	simple_wsd - ENG30-00027795-b:0.7069::do sadašnjeg trenutka - CV0131:0.5708::kad nečega nije bilo do vremena kad se govori (u negaciji) - ENG30-00017639-b:0.0950::u većoj meri ili opsegu; koristi se sa poređenjima	
3-7	141-145	uvek	ADV	ADV	_	_	uvek	_	_	_	ENG30-00019806-b	4	ENG30-00019339-b;ENG30-00019806-b;ENG30-00087542-b;ENG30-00146387-b	*	simple_wsd - ENG30-00019806-b:0.6595::naizgled neprekidano; često i više puta - ENG30-00146387-b:0.3237::u bilo koje vreme; bilo kada - ENG30-00087542-b:0.0312::za neograničeno vreme	
3-8	146-154	čekajući	V	VERB	_	_	čekati	_	_	_	ENG30-02637938-v	1	ENG30-02637938-v	*	simple_wsd - ENG30-02637938-v:0.7816::Ostati na mestu, predviđajući ili očekujući nešto.	
3-9	155-157	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
3-10	158-161	joj	PRO	PRON	_	_	ona	_	_	_	_	_	_	_	_	
3-11	162-164	se	PAR	PART	_	_	se	1	*	IRV	CVMWE-0499[2000]	3[2000]	CVMWE-0498;CVMWE-0499;ENG30-02004874-v[2000]	*[369]	simple_wsd - CVMWE-0499:0.8646::ponovo se baviti nečim nakon izvesnog prekida, prihvatiti ponovo ono što se napustilo, doći ponovo u ranije stanje, na … - CVMWE-0498:0.5889::doći ponovo onamo odakle se pošlo - ENG30-02004874-v:0.1715::Doći nazad na mesto gde se ranije već bilo, ili se vratiti prethodnoj aktivnosti.[2000]	
3-12	165-168	sin	N	NOUN	_	_	sin	_	_	_	ENG30-13787379-n	2	ENG30-10624074-n;ENG30-13787379-n	*[369]|*[370]	simple_wsd - ENG30-13787379-n:-0.0195::odnos naspramne stranice i hipotenuze u pravouglom trouglu - ENG30-10624074-n:-0.0210::Muški potomak čoveka.	
3-13	169-174	vrati	V	VERB	_	_	vratiti	1	vratiti se	IRV	CVMWE-0499[2000]	3[2000]	CVMWE-0498;CVMWE-0499;ENG30-02004874-v[2000]	*[369]	simple_wsd - CVMWE-0499:0.8646::ponovo se baviti nečim nakon izvesnog prekida, prihvatiti ponovo ono što se napustilo, doći ponovo u ranije stanje, na … - CVMWE-0498:0.5889::doći ponovo onamo odakle se pošlo - ENG30-02004874-v:0.1715::Doći nazad na mesto gde se ranije već bilo, ili se vratiti prethodnoj aktivnosti.[2000]	
3-14	174-175	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Govoreći o naslovu i konceptu albuma, Gaga je objasnila: „Slava govori o tome kako se svako može osećati slavnim.“
4-1	175-183	Govoreći	V	VERB	_	_	govoriti	_	_	_	ENG30-00989201-v	6	ENG30-00593852-v;ENG30-00921300-v;ENG30-00941990-v;ENG30-00962447-v;ENG30-00963570-v;ENG30-00989201-v	*	simple_wsd - ENG30-00989201-v:0.9590::održati govor - ENG30-00963570-v:0.8082::Koristiti se jezikom. - ENG30-00593852-v:0.7704::Shvatati neki jezik.	
4-2	184-185	o	PREP	ADP	_	_	o	_	_	_	_	_	_	_	_	
4-3	186-193	naslovu	N	NOUN	_	_	naslov	_	_	_	ENG30-04073208-n	7	ENG30-04073208-n;ENG30-06343520-n;ENG30-06343971-n;ENG30-06344461-n;ENG30-06346461-n;ENG30-06405699-n;ENG30-06783768-n	*	simple_wsd - ENG30-04073208-n:0.7538::roba koja je proizvedena za prodaju ili javno prikazivanje (posebno za ploče i filomove) - ENG30-06405699-n:0.7491::Slova upisana na nečemu (posebno izrezbarena ili ugravirana). - ENG30-06343520-n:0.6656::ime umetničkog dela ili književnog sastava itd.	
4-4	194-195	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
4-5	196-204	konceptu	N	NOUN	_	_	koncept	_	_	_	ENG30-05835747-n	4	CV004;ENG30-03179318-n;ENG30-05835747-n;ENG30-06390962-n	*	simple_wsd - ENG30-05835747-n:0.8076::Apstraktna ili opšta ideja koja je izvedena iz specifičnih slučajeva. - CV004:0.6112::osnovna zamisao, plan nečega, koncepcija - ENG30-03179318-n:0.5054::preliminarna skica koja ukazuje na plan za nešto	
4-6	205-211	albuma	N	NOUN	_	_	album	_	_	_	ENG30-06591815-n	2	ENG30-02695079-n;ENG30-06591815-n	*	simple_wsd - ENG30-06591815-n:0.9373::Jedan ili više audio zapisa izdatih zajedno; na početku je to bilo na 12-to inčnoj ploči koja je imala atraktivan omot,… - ENG30-02695079-n:0.5761::knjiga belih stranica sa džepovima ili kovertama; za organizovanje zbirki fotografija ili maraka	
4-7	211-212	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
4-8	213-217	Gaga	N	PROPN	http://www.wikidata.org/entity/Q19848	PERS	Gaga	_	_	_	_	_	_	_	_	
4-9	218-220	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
4-10	221-230	objasnila	V	VERB	_	_	objasniti	_	_	_	ENG30-00939277-v	8	ENG30-00867644-v;ENG30-00893435-v;ENG30-00896141-v;ENG30-00938247-v;ENG30-00939277-v;ENG30-00957378-v;ENG30-01033189-v;ENG30-02607432-v	*	simple_wsd - ENG30-00939277-v:0.8281::Učiniti nešto razumljivim. - ENG30-00957378-v:0.6949::proizvesti definiciju za značenje koje reči - ENG30-01033189-v:0.6316::šta objasniti ili tumačiti	
4-11	230-231	:	PUNCT	PUNCT	_	_	:	_	_	_	_	_	_	_	_	
4-12	232-233	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
4-13	233-238	Slava	N	NOUN	_	_	slava	_	_	_	BILI-00001022	4	BILI-00001022;ENG30-14437134-n;ENG30-14437386-n;ENG30-14438898-n	*	simple_wsd - BILI-00001022:0.9574::Dan sveca zaštitnika, svetkovina i kult predaka. - ENG30-14437134-n:0.4213::stanje visoke časti - ENG30-14438898-n:0.3674::povoljna javna reputacija	
4-14	239-245	govori	V	VERB	_	_	govoriti	_	_	_	ENG30-00989201-v	6	ENG30-00593852-v;ENG30-00921300-v;ENG30-00941990-v;ENG30-00962447-v;ENG30-00963570-v;ENG30-00989201-v	*	simple_wsd - ENG30-00989201-v:0.9545::održati govor - ENG30-00963570-v:0.8049::Koristiti se jezikom. - ENG30-00962447-v:0.7826::Razmenjivati misli, pričati sa nekim.	
4-15	246-247	o	PREP	ADP	_	_	o	_	_	_	_	_	_	_	_	
4-16	248-252	tome	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	
4-17	253-257	kako	CONJ	SCONJ	_	_	kako	_	_	_	_	_	_	_	_	
4-18	258-260	se	PAR	PART	_	_	se	1	*	IRV	ENG30-01826184-v[2001]	2[2001]	CVMWE-0269;ENG30-01826184-v[2001]	*[371]	simple_wsd - ENG30-01826184-v:0.6599::Imati naklonost ka nečemu ili nekoj aktivnosti. - CVMWE-0269:0.5800::biti prožet osećanjem nečega[2001]	
4-19	261-266	svako	PRO	PRON	_	_	svako	_	_	_	http://llod.jerteh.rs/WSD/seCVMWE0269[371]	2[371]	CVMWE-0269\;ENG30-01826184-v[371]	*[371]	U ovom kontekstu, 'osećati se' znači biti prožet osećanjem nečega, konkretno osećanjem slave, što odgovara prvom ponuđenom značenju.[371]	
4-20	267-271	može	V	VERB	_	_	moći	_	_	_	CV0044	6	CV0044;CV0071;CV0124;CV0171;DRJ0-203294/2b.;ENG30-02523221-v	*[371]|*[372]	simple_wsd - CV0044:0.6532::biti u stanju, biti kadar, sposoban učiniti, uraditi nešto - CV0124:0.6400::biti upotrebljiv, prihvatljiv, odgovarati nekoj nameni ili potrebi. - CV0071:0.6392::biti u mogućnosti, imati prilike za nešto, biti u okolnostima za ostvarivanje nečega	
4-21	272-279	osećati	V	VERB	_	_	osećati	1	osećati se	IRV	ENG30-01826184-v[2001]	2[2001]	CVMWE-0269;ENG30-01826184-v[2001]	*[371]	simple_wsd - ENG30-01826184-v:0.6599::Imati naklonost ka nečemu ili nekoj aktivnosti. - CVMWE-0269:0.5800::biti prožet osećanjem nečega[2001]	
4-22	280-287	slavnim	A	ADJ	_	_	slavan	_	_	_	ENG30-01121402-a	2	ENG30-01121402-a;ENG30-01375831-a	*	simple_wsd - ENG30-01121402-a:0.9617::koji ima slavnu prošlost - ENG30-01375831-a:0.5514::opšte poznat i uvažen	
4-23	287-288	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	
4-24	288-289	“	SENT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	

#Text=U roku od pet sati 10 bojnih brodova, pet ratnih krstarica, četiri lake krstarice i 32 torpedna čamca potonuli su u Skapa Flouu.
5-1	289-290	U	PREP	ADP	_	_	u	1[153]	u roku od[153]	AdpID[153]	LLM-0287[2002]	1[2002]	LLM-0287[2002]	*[373]	simple_wsd - LLM-0287:0.2365::Unutar definisanog vremenskog perioda.[2002]	
5-2	291-295	roku	N	NOUN	_	_	rok	1[153]	u roku od[153]	AdpID[153]	LLM-0287[2002]	1[2002]	LLM-0287[2002]	*[373]	simple_wsd - LLM-0287:0.2365::Unutar definisanog vremenskog perioda.[2002]	
5-3	296-298	od	PREP	ADP	_	_	od	1[153]	u roku od[153]	AdpID[153]	LLM-0287[2002]	1[2002]	LLM-0287[2002]	*[373]	simple_wsd - LLM-0287:0.2365::Unutar definisanog vremenskog perioda.[2002]	
5-4	299-302	pet	NUM	NUM	_	_	pet	_	_	_	_	_	_	_	_	
5-5	303-307	sati	N	NOUN	_	_	sat	_	_	_	ENG30-15227846-n	3	ENG30-03046257-n;ENG30-15227846-n;ENG30-15228378-n	*	simple_wsd - ENG30-15227846-n:0.3943::period vremena koji iznosi 1/24 dana - ENG30-15228378-n:0.1725::vreme po časovniku - ENG30-03046257-n:0.1176::uređaj koji pokazuje doba dana	
5-6	308-310	10	NUM	NUM	_	_	10	_	_	_	_	_	_	_	_	
5-7	311-317	bojnih	A	ADJ	_	_	bojni	2[154]	bojni brod[154]	NID[154]	ENG30-02812201-n[2003]	2[2003]	CVMWE-0026;ENG30-02812201-n[2003]	*[374]	simple_wsd - ENG30-02812201-n:0.9530::veliki i teško naoružan vojni brod - CVMWE-0026:0.5307::veliki, teško oklopljeni ratni brod sa glavnom baterijom koja se sastoji od topova velikog kalibra, dizajniranih da slu…[2003]	
5-8	318-325	brodova	N	NOUN	_	_	brod	2[154]	bojni brod[154]	NID[154]	ENG30-02812201-n[2003]	2[2003]	CVMWE-0026;ENG30-02812201-n[2003]	*[374]	simple_wsd - ENG30-02812201-n:0.9530::veliki i teško naoružan vojni brod - CVMWE-0026:0.5307::veliki, teško oklopljeni ratni brod sa glavnom baterijom koja se sastoji od topova velikog kalibra, dizajniranih da slu…[2003]	
5-9	325-326	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
5-10	327-330	pet	NUM	NUM	_	_	pet	_	_	_	_	_	_	_	_	
5-11	331-337	ratnih	A	ADJ	_	_	ratni	3[155]	ratna krstarica[155]	NID[155]	CVMWE-0377[2004]	1[2004]	CVMWE-0377[2004]	*[375]	simple_wsd - CVMWE-0377:0.4902::podklasa bojnog broda, sa istim naoružanjem i istog izgleda kao bojni brodovi, ali sa većom brzinom i tanjim oklopom[2004]	
5-12	338-347	krstarica	N	NOUN	_	_	krstarica	3[155]	ratna krstarica[155]	NID[155]	CVMWE-0377[2004]	1[2004]	CVMWE-0377[2004]	*[375]	simple_wsd - CVMWE-0377:0.4902::podklasa bojnog broda, sa istim naoružanjem i istog izgleda kao bojni brodovi, ali sa većom brzinom i tanjim oklopom[2004]	
5-13	347-348	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
5-14	349-355	četiri	NUM	NUM	_	_	četiri	_	_	_	_	_	_	_	_	
5-15	356-360	lake	A	ADJ	_	_	lak	4[156]	laka krstarica[156]	NID[156]	CVMWE-0190[2005]	1[2005]	CVMWE-0190[2005]	*[376]	simple_wsd - CVMWE-0190:0.3071::tip malog bojnog broda ili bojnog broda srednje veličine[2005]	
5-16	361-370	krstarice	N	NOUN	_	_	krstarica	4[156]	laka krstarica[156]	NID[156]	CVMWE-0190[2005]	1[2005]	CVMWE-0190[2005]	*[376]	simple_wsd - CVMWE-0190:0.3071::tip malog bojnog broda ili bojnog broda srednje veličine[2005]	
5-17	371-372	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
5-18	373-375	32	NUM	NUM	_	_	32	_	_	_	_	_	_	_	_	
5-19	376-384	torpedna	A	ADJ	_	_	torpedni	5[157]	torpedni čamac[157]	NID[157]	CVMWE-0455[2006]	1[2006]	CVMWE-0455[2006]	*[377]	simple_wsd - CVMWE-0455:0.2210::elativno mali i brz pomorski brod dizajniran da nosi torpeda u bitku[2006]	
5-20	385-390	čamca	N	NOUN	_	_	čamac	5[157]	torpedni čamac[157]	NID[157]	CVMWE-0455[2006]	1[2006]	CVMWE-0455[2006]	*[377]	simple_wsd - CVMWE-0455:0.2210::elativno mali i brz pomorski brod dizajniran da nosi torpeda u bitku[2006]	
5-21	391-399	potonuli	V	VERB	_	_	potonuti	_	_	_	ENG30-00432839-v	3	ENG30-00432839-v;ENG30-01971929-v;ENG30-01985923-v	*	simple_wsd - ENG30-00432839-v:0.9438::iznenada se sručiti; upadljivo opadati - ENG30-01985923-v:0.3561::pasti ili se spustiti na niže mesto ili nivo - ENG30-01971929-v:0.3322::spustiti se na neko meko mesto	
5-22	400-402	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
5-23	403-404	u	N	PROPN	_	_	Skapa	_	_	_	_	_	_	_	_	
5-24	405-410	Skapa	V	VERB	http://www.wikidata.org/entity/Q213965[1]	LOC[1]	skapati	_	_	_	DRJ0-176066/0	1	DRJ0-176066/0	*	simple_wsd - DRJ0-176066/0:0.8119::stradati, izgubiti život, umreti odn. uginuti od gladi, žeđi, zime i sl.:	
5-25	411-416	Flouu	N	PROPN	http://www.wikidata.org/entity/Q213965[1]	LOC[1]	Flou	_	_	_	_	_	_	_	_	
5-26	416-417	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Car nije bio voljan da to razmotri.
6-1	417-420	Car	N	NOUN	http://www.wikidata.org/entity/Q187587	ROLE	car	_	_	_	ENG30-02301935-n	4	CV0268;ENG30-02278839-n;ENG30-02301935-n;ENG30-10053004-n	*	simple_wsd - ENG30-02301935-n:0.5857::veliki moljac umerenih šuma Evroazije sa providnim krilima sa velikim krljuštima - ENG30-10053004-n:0.3569::muški valdar imperije, carevine - ENG30-02278839-n:0.0952::veliki leptir bogatih boja	
6-2	421-425	nije	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
6-3	426-429	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
6-4	430-436	voljan	A	ADJ	_	_	voljan	_	_	_	ENG30-02564986-a	1	ENG30-02564986-a	*	simple_wsd - ENG30-02564986-a:0.3911::Nastrojen prema nečemu.	
6-5	437-439	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
6-6	440-442	to	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	
6-7	443-451	razmotri	V	VERB	_	_	razmotriti	_	_	_	ENG30-00813044-v	3	ENG30-00734054-v;ENG30-00813044-v;ENG30-02166460-v	*	simple_wsd - ENG30-00813044-v:0.2492::pažljivo o nečemu razmišljati; vagati - ENG30-02166460-v:0.1167::Razmotriti pažljivo. - ENG30-00734054-v:-0.0414::uzeti u obzir u svrhu ilustracije	
6-8	451-452	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Stoga će svaka potraga za dokazima u korist hipoteze verovatno uspeti.
7-1	452-457	Stoga	ADV	ADV	_	_	stoga	_	_	_	ENG30-00043003-b	3	ENG30-00043003-b;ENG30-00062857-b;ENG30-00294459-b	*	simple_wsd - ENG30-00043003-b:0.7250::(koristi se za uvođenje logičkog zaključka) iz te činjenice ili razloga ili kao rezultat - ENG30-00062857-b:0.5163::(veznici rečenica) zbog navedenog razloga - ENG30-00294459-b:0.1436::kao posljedica	
7-2	458-460	će	V	AUX	_	_	hteti	_	_	_	_	_	_	_	_	
7-3	461-466	svaka	PRO	DET	_	_	svaki	_	_	_	_	_	_	_	_	
7-4	467-474	potraga	N	NOUN	_	_	potraga	_	_	_	ENG30-00945401-n	2	ENG30-00945401-n;ENG30-05770058-n	*	simple_wsd - ENG30-00945401-n:0.7354::Čin pomnog razgledanja da bi se našlo nešto ili neko. - ENG30-05770058-n:0.7251::Ispitivanje alternativnih pretpostavki.	
7-5	475-477	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	_	
7-6	478-486	dokazima	N	NOUN	_	_	dokaz	_	_	_	ENG30-06643763-n	6	ENG30-00153961-n;ENG30-05819149-n;ENG30-05824739-n;ENG30-06643408-n;ENG30-06643763-n;ENG30-06732710-n	*	simple_wsd - ENG30-06643763-n:0.7828::dokaz koji pomaže u rešavanju problema - ENG30-00153961-n:0.7423::čin potvrđivanja; pronalaženje ili testiranje istinitosti nečega - ENG30-05824739-n:0.7204::bilo koji činjenični nalaz koji pomaže da se ustanovi istinitost nečega	
7-7	487-488	u	PREP	ADP	_	_	u	1[158]	u korist[158]	AdpID[158]	LLM-0274[2007]	1[2007]	LLM-0274[2007]	*[378]	simple_wsd - LLM-0274:0.6524::U nečiju prednost; za dobrobit nekoga ili nečega.[2007]	
7-8	489-495	korist	N	NOUN	_	_	korist	1[158]	u korist[158]	AdpID[158]	LLM-0274[2007]	1[2007]	LLM-0274[2007]	*[378]	simple_wsd - LLM-0274:0.6524::U nečiju prednost; za dobrobit nekoga ili nečega.[2007]	
7-9	496-504	hipoteze	N	NOUN	_	_	hipoteza	_	_	_	ENG30-05888929-n	1	ENG30-05888929-n	*	simple_wsd - ENG30-05888929-n:0.9064::Moguća teorija, koncept koji još nije dokazan, ali koji bi, ako bi se pokazao tačnim objasnio određene činjenice ili fe…	
7-10	505-514	verovatno	ADV	ADV	_	_	verovatno	_	_	_	ENG30-00138611-b	3	ENG30-00053952-b;ENG30-00138611-b;ENG30-00296131-b	*	simple_wsd - ENG30-00138611-b:0.8425::sa priličnom sigurnošću; bez mnogo sumnje - ENG30-00053952-b:0.6319::po razumnoj pretpostavci - ENG30-00296131-b:0.6178::lako je poverovati na osnovu dostupnih dokaza	
7-11	515-521	uspeti	V	VERB	_	_	uspeti	_	_	_	ENG30-02522864-v	2	ENG30-02522864-v;ENG30-02524171-v	*	simple_wsd - ENG30-02522864-v:0.5846::uspeti; postići cilj - ENG30-02524171-v:0.4713::Postići uspeh.	
7-12	521-522	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Snabdevanje lako dostupnom nekontaminiranom vodom i dobra sanitarna praksa važni su za smanjenje stope infekcije i klinički značajnog gastroenteritisa.
8-1	522-533	Snabdevanje	N	NOUN	_	_	snabdevanje	_	_	_	ENG30-01057200-n	1	ENG30-01057200-n	*	simple_wsd - ENG30-01057200-n:0.7095::Aktivnost snabdevanja ili dotura nečega.	
8-2	534-538	lako	ADV	ADV	_	_	lako	1[159]	lako dostupan[159]	AdjID[159]	LLM-0103[2008]	1[2008]	LLM-0103[2008]	*[379]	simple_wsd - LLM-0103:0.9337::Koji se može dobiti ili pronaći bez poteškoća.[2008]	
8-3	539-548	dostupnom	A	ADJ	_	_	dostupan	1[159]	lako dostupan[159]	AdjID[159]	LLM-0103[2008]	1[2008]	LLM-0103[2008]	*[379]	simple_wsd - LLM-0103:0.9337::Koji se može dobiti ili pronaći bez poteškoća.[2008]	
